SEASON,ENV,SOWING,GEN,N_RATE,DATE_SOW,Optimum_date,DAYS, GY ,STY,Maturity_days,Weeding,Weeding_No,Irrigation,Irrigation_No,FARMER
Rabi 12-13,FULTALA,LATE,BG 27,67,12/24/2012,12/15/2012,9,3.208,3.844266667,100,0,No weeding,3,3 irrigation,77
Rabi 12-13,FULTALA,LATE,BG 25,67,12/24/2012,12/15/2012,9,3.554,3.7922,98,0,No weeding,3,3 irrigation,77
Rabi 12-13,FULTALA,LATE,BG 21,67,12/24/2012,12/15/2012,9,3.549,4.164333333,99,0,No weeding,3,3 irrigation,77
Rabi 12-13,FULTALA,LATE,BG 27,100,12/24/2012,12/15/2012,9,3.543,4.511,100,0,No weeding,3,3 irrigation,77
Rabi 12-13,FULTALA,LATE,BG 25,100,12/24/2012,12/15/2012,9,4.099,4.801666667,98,0,No weeding,3,3 irrigation,77
Rabi 12-13,FULTALA,LATE,BG 21,100,12/24/2012,12/15/2012,9,3.851,4.0964,99,0,No weeding,3,3 irrigation,77
Rabi 12-13,FULTALA,LATE,BG 27,0,12/17/2012,12/15/2012,2,0.946,1.0184,102,0,No weeding,1,1 irrigation,76
Rabi 12-13,FULTALA,LATE,BG 25,0,12/17/2012,12/15/2012,2,1.1,1.1,100,0,No weeding,1,1 irrigation,76
Rabi 12-13,FULTALA,LATE,BG 21,0,12/17/2012,12/15/2012,2,0.963,1.152,101,0,No weeding,1,1 irrigation,76
Rabi 12-13,FULTALA,LATE,BG 27,67,12/17/2012,12/15/2012,2,2.691,0.8862,104,0,No weeding,2,2 irrigation,76
Rabi 12-13,FULTALA,LATE,BG 25,67,12/17/2012,12/15/2012,2,2.619,0.826333333,102,0,No weeding,2,2 irrigation,76
Rabi 12-13,FULTALA,LATE,BG 21,67,12/17/2012,12/15/2012,2,2.883,3.579333333,103,0,No weeding,2,2 irrigation,76
Rabi 12-13,FULTALA,LATE,BG 27,100,12/17/2012,12/15/2012,2,2.889,3.74,104,0,No weeding,2,2 irrigation,76
Rabi 12-13,FULTALA,LATE,BG 25,100,12/17/2012,12/15/2012,2,2.168,2.4464,102,0,No weeding,2,2 irrigation,76
Rabi 12-13,FULTALA,LATE,BG 21,100,12/17/2012,12/15/2012,2,1.799,2.1504,103,0,No weeding,2,2 irrigation,76
Rabi 12-13,DUMURIA,LATE,BG 27,0,1/5/2013,12/15/2012,21,0.561,0.5658,91,0,No weeding,1,1 irrigation,71
Rabi 12-13,DUMURIA,LATE,BG 25,0,1/5/2013,12/15/2012,21,0.638,1.0304,90,0,No weeding,1,1 irrigation,71
Rabi 12-13,DUMURIA,LATE,BG 21,0,1/5/2013,12/15/2012,21,0.38,0.5628,91,0,No weeding,1,1 irrigation,71
Rabi 12-13,DUMURIA,LATE,BG 27,67,1/5/2013,12/15/2012,21,1.37,1.246666667,93,1,1 weeding,1,1 irrigation,71
