ID,Land_type,Longitude,Latitude,x,y,As,P,Fe,Ec,pH,Mg,Na,Ca,K,S
109,MHL,89.1578,22.7306,2656640.071,552779.6623,0.105,1.003,4.070,1.210,7.040,38.900,106.400,114.900,7.100,0.987
110,MHL,89.1699,22.7257,2657877.8,552233.6,0.106,1.045,9.350,2.030,6.780,54.000,232.200,175.200,8.800,1.432
111,MHL,89.1666,22.7279,2657540.071,552479.6623,0.160,1.051,6.030,1.220,6.960,36.600,108.200,122.700,6.000,1.039
112,MHL,89.1723,22.7273,2658124.316,552412.7353,0.137,1.240,3.740,1.250,7.040,37.700,143.300,112.600,6.100,0.968
113,HL,89.1722,22.7677,2658140.071,556879.6623,0.079,1.037,6.900,3.570,6.750,91.600,415.000,274.000,14.700,41.295
114,HL,89.2308,22.7417,2664150,553965.2,0.176,1.032,3.880,0.840,6.870,38.600,21.800,106.200,5.100,0.961
115,HL,89.2318,22.7328,2664240.071,552979.6623,0.216,1.167,4.350,1.630,6.970,56.400,173.000,142.000,9.600,3.465
116,HL,89.2321,22.751,2664289.4,554995.3,0.120,1.359,4.380,0.530,6.840,20.200,10.800,71.600,3.400,0.566
117,HL,89.2355,22.7635,2664640.071,556379.6623,0.126,1.171,7.100,1.100,6.900,24.600,90.100,114.500,4.800,2.917
118,HL,89.2298,22.7667,2664058.754,556737.4408,0.199,1.706,4.190,1.730,6.970,44.100,258.200,96.800,9.900,0.836
119,HL,89.221,22.7639,2663155.483,556429.6211,0.278,1.134,6.030,1.770,7.130,39.100,274.800,106.500,9.500,0.895
120,HL,89.2212,22.7684,2663171.85,556933.5499,0.209,1.148,2.520,1.320,7.020,38.300,250.300,92.800,9.300,0.804
121,HL,89.2361,22.7905,2664720.501,559365.3989,0.198,1.358,6.410,0.730,6.840,31.100,20.300,92.200,6.000,0.719
122,HL,89.2364,22.7752,2664740.071,557679.6623,0.115,1.382,3.630,0.590,6.850,25.200,14.100,84.600,3.700,0.654
123,HL,89.2392,22.7915,2665040.071,559479.6623,0.044,1.165,3.250,0.500,6.900,15.700,16.600,68.400,2.600,0.924
124,HL,89.2491,22.8029,2666062.258,560732.5791,0.048,1.270,3.910,0.510,6.920,18.100,17.100,70.400,3.100,0.550
125,HL,89.2599,22.8064,2667171.825,561114.9996,0.064,1.229,3.770,0.530,6.910,19.100,19.300,72.200,3.100,0.696
126,HL,89.2629,22.8051,2667482.748,560972.6124,0.042,0.993,4.230,0.540,6.900,16.100,15.600,81.300,2.500,0.839
127,HL,89.2513,22.7944,2666282.823,559796.0742,,0.318,2.350,0.560,7.010,16.200,15.300,85.000,3.100,1.913
128,HL,89.2501,22.7646,2666139.999,556493.7506,,0.271,1.920,0.450,7.090,13.600,10.100,76.700,1.700,1.132
129,HL,89.2618,22.7576,2667340.071,555713.038,0.035,0.737,2.540,0.490,6.790,15.300,11.700,73.400,2.000,0.572
130,HL,89.2662,22.761,2667795,556084.7,0.020,0.791,2.310,0.470,6.770,16.800,8.900,69.200,3.300,0.546
131,HL,89.2705,22.7624,2668237.6,556237.3,,1.138,2.910,1.230,6.870,19.800,8.900,65.100,9.400,0.538
132,HL,89.2796,22.7691,2669181,556971.0625,0.120,1.017,5.340,0.760,6.860,40.700,15.200,99.900,4.900,0.751
133,HL,89.2676,22.7811,2667951.3,558310.3,0.027,0.609,6.400,0.780,6.820,20.000,22.700,125.500,1.800,1.470
134,HL,89.2648,22.7887,2667668.5,559153.8,0.024,0.874,1.980,0.390,6.940,11.000,11.100,57.500,1.700,0.437
135,HL,89.2596,22.7962,2667134.445,559992.9416,0.087,1.075,2.920,0.540,6.900,17.300,14.000,78.400,3.100,0.597
136,HL,89.2567,22.8024,2666840.071,560679.6623,0.135,1.647,4.620,0.560,6.950,16.800,17.400,73.400,3.200,0.584
137,HL,89.192,22.7472,2660160.3,554596,0.109,1.090,4.890,0.940,6.920,39.400,38.900,112.900,5.700,1.210
138,HL,89.1986,22.7489,2660840.071,554779.6623,0.053,1.065,3.350,1.660,6.850,39.900,149.000,159.600,5.100,10.461
139,HL,89.2198,22.7375,2663013,553509.2,0.184,1.043,3.610,0.920,7.010,29.100,64.300,107.900,6.100,0.914
140,HL,89.2397,22.7457,2665063,554405.4,,0.627,3.650,0.490,6.860,16.400,8.600,77.200,1.600,0.588
140,HL,89.2397,22.7457,2665063,554405.4,,0.627,3.650,0.490,6.860,16.400,8.600,77.200,1.600,0.588
141,HL,89.2523,22.752,2666361.051,555098.2995,0.101,0.992,7.920,2.790,6.580,79.200,342.000,307.000,8.800,25.032
142,HL,89.2553,22.7785,2666687.696,558033.6628,,0.308,3.530,0.650,6.810,14.100,22.700,103.400,2.000,2.474
143,HL,89.2652,22.7854,2667712.4,558783.2003,0.035,0.756,3.900,0.500,6.840,15.200,16.300,74.400,2.000,0.588
144,HL,89.2595,22.7988,2667130.5,560275.6,,0.216,2.980,0.490,6.880,12.200,11.300,74.900,1.600,1.294
145,HL,89.2436,22.7948,2665492.939,559836.9806,0.021,0.489,2.610,0.560,6.910,20.200,14.400,80.200,5.400,1.020
