ID,x,y,xm,ym,DIVISION_NAME,DISTRICT_NAME,Land_type,pH,SOM,DEM,NDFI,NDVI
4228,88.66437925,24.70707659,364897.1019,2733171.66,RAJSHAHI,NAOGAON,Highland,6.9,1.6,17.7832489,-0.124169677,0.477339268
4229,88.80200443,24.91847857,379025.2461,2756453.963,RAJSHAHI,NAOGAON,Highland,5.2,2.2,20.17472839,-0.139417425,0.498705506
4230,88.39463035,24.41628159,337231.5431,2701258.719,RAJSHAHI,RAJSHAHI,Highland,6.1,0.9,29.42413902,-0.212433547,0.440701842
4231,88.67343355,24.94035343,366064.2463,2758997.08,RAJSHAHI,NAOGAON,Highland,5.3,2.2,21.67326546,-0.155779362,0.478426367
4232,88.36747814,24.68748857,334833.7994,2731327.492,RAJSHAHI,CHAPAI,Highland,4.3,1.8,38.71615601,-0.248127103,0.44297114
4233,88.46233992,24.57737839,344296.3156,2719021.919,RAJSHAHI,RAJSHAHI,Highland,5.3,1.5,28.52788925,-0.206604511,0.453159511
4234,88.32537278,24.67623126,330557.891,2730132.063,RAJSHAHI,CHAPAI,Highland,6.3,1.4,29.91884613,-0.176612899,0.484844178
4235,88.47183477,25.16727142,345990.9822,2784343.236,RAJSHAHI,NAOGAON,Highland,4.9,1.8,28.50119591,-0.162779361,0.479293257
4236,88.84783285,24.83231657,383572.7351,2746872.273,RAJSHAHI,NAOGAON,Medium Highland 1,6,2,14.8223896,-0.019403871,0.417331874
4237,88.49967245,25.15980889,348787.6845,2783485.177,RAJSHAHI,NAOGAON,Highland,4.5,1.6,27.36448288,-0.130161285,0.44204542
4238,88.6373828,24.93939901,362422.9106,2758927.41,RAJSHAHI,NAOGAON,Highland,5.4,1.6,22.24176788,-0.115178064,0.446603656
4239,88.51027784,25.11100918,349797.0128,2778068.518,RAJSHAHI,NAOGAON,Highland,5.8,1.4,33.48347092,-0.199708387,0.49367851
4240,88.44442634,24.73184915,342675.8932,2736149.969,RAJSHAHI,CHAPAI,Highland,5.5,1.3,35.76176453,-0.179850966,0.46354419
4241,88.54556688,25.01800143,353244.7717,2767728.862,RAJSHAHI,NAOGAON,Highland,5.1,1.6,37.31895447,-0.223196775,0.395921499
4242,88.57341937,24.59693897,355568.2737,2721067.095,RAJSHAHI,RAJSHAHI,Highland,6.2,1.2,22.23382187,-0.177429035,0.470975429
4243,88.67516748,25.16014834,366477.6929,2783337.317,RAJSHAHI,NAOGAON,Highland,4.9,2,27.2105732,-0.224539995,0.478866905
4244,88.69024691,25.14184453,367977.9358,2781295.321,RAJSHAHI,NAOGAON,Highland,5.5,1.9,24.73318672,-0.163142577,0.488371789
4245,88.55292598,24.77313972,353699.037,2740602.477,RAJSHAHI,NAOGAON,Highland,4.4,0.9,23.21230888,-0.193690971,0.442091405
4246,88.41587142,24.40488223,339371.1129,2699971.474,RAJSHAHI,RAJSHAHI,Highland,6.1,2.9,30.32351112,-0.224256128,0.432514757
4247,88.44929023,24.58400668,342982.957,2719770.814,RAJSHAHI,RAJSHAHI,Highland,5.1,1.1,32.52810669,-0.182336777,0.447416544
4248,88.59423921,25.02321549,358162.5497,2768254.464,RAJSHAHI,NAOGAON,Highland,4.8,1.4,23.57272339,-0.175899357,0.474927008
4249,88.72925061,25.04375828,371807.7095,2770394.886,RAJSHAHI,NAOGAON,Highland,4.5,1,25.46587563,-0.207045794,0.480497569
4250,88.49563057,24.8229275,347966.2842,2746179.039,RAJSHAHI,NAOGAON,Highland,4.4,0.9,33.62937164,-0.243969038,0.444595069
4251,88.661931,24.87528976,364831.8791,2751802.876,RAJSHAHI,NAOGAON,Highland,5.1,1.1,17.76349831,-0.140915483,0.454278529
4252,88.53365982,25.12302227,352169.3193,2779373.194,RAJSHAHI,NAOGAON,Highland,4.7,1.4,37.61125565,-0.178218067,0.442281008
4253,88.42526352,24.86945878,340913.2787,2751412.796,RAJSHAHI,CHAPAI,Highland,4.8,1.3,44.0279808,-0.246032253,0.449020863
4254,88.69741684,24.88230509,368424.4023,2752545.034,RAJSHAHI,NAOGAON,Highland,5.8,1.3,22.40649414,-0.151213557,0.448018998
4255,88.69644158,24.87198919,368314.9428,2751403.538,RAJSHAHI,NAOGAON,Highland,6.2,1.6,21.08366203,-0.179715484,0.45982945
4256,88.54440346,24.98029865,353082.5233,2763554.477,RAJSHAHI,NAOGAON,Highland,5.2,1.6,27.22661591,-0.25907743,0.433901221
4257,88.5275123,24.79403645,351154.2541,2742944.214,RAJSHAHI,NAOGAON,Highland,4.7,0.8,26.66055298,-0.202160001,0.459855825
4258,88.5531041,24.57542852,353486.1683,2718706.38,RAJSHAHI,RAJSHAHI,Highland,5,1,24.1228199,-0.160452902,0.488700628
4259,88.88771101,24.92844814,387689.7461,2757484.47,RAJSHAHI,NAOGAON,Highland,4.9,1.4,17.94626427,-0.147872731,0.495950937
4260,88.49977589,25.02922351,348637.4649,2769022.147,RAJSHAHI,NAOGAON,Highland,6.1,1.4,26.79262543,-0.237142578,0.440765619
4261,89.05719823,24.90986064,404790.0627,2755296.761,RAJSHAHI,JOYPURHAT,Medium Highland 1,5.3,1.7,21.12035561,-0.181758702,0.532268703
4262,88.50202911,24.57245521,348309.9302,2718432.392,RAJSHAHI,RAJSHAHI,Highland,5.2,1.4,25.40232849,-0.192237422,0.462787747
4263,88.51035155,24.72047603,349330.5928,2734816.25,RAJSHAHI,NAOGAON,Highland,5,1.3,25.78212929,-0.247255489,0.451403648
4264,88.52280029,24.61268443,350461.4193,2722864.93,RAJSHAHI,RAJSHAHI,Highland,5.4,1,23.3671627,-0.162843868,0.489697546
4265,88.34930133,24.8013007,333146.5259,2743954.754,RAJSHAHI,CHAPAI,Highland,5.4,1,31.31674004,-0.158923224,0.416488975
4266,88.45853485,24.48632476,343798.2827,2708942.21,RAJSHAHI,RAJSHAHI,Highland,6.1,0.6,33.20075607,-0.16171363,0.439201862
